Word,POS,Meaning,English_Sentence,Chinese_Translation
a,art. 冠詞,一個 (用於子音開頭的單數名詞前),I have a pen.,我有一枝筆。
is,v. 是 (動詞 be 的第三人稱單數現在式),是,He is a student.,他是個學生。
I,pron. 我,我,I like apples.,我喜歡蘋果。
you,pron. 你；你們,你；你們,You are happy.,你很快樂。
he,pron. 他,他,He plays basketball.,他打籃球。
she,pron. 她,她,She is my sister.,她是我的妹妹。
it,pron. 它,它,It is a cat.,那是一隻貓。
we,pron. 我們,我們,We are friends.,我們是朋友。
they,pron. 他們；牠們；她們,他們；牠們；她們,They play together.,他們一起玩。
am,v. 是 (動詞 be 的第一人稱單數現在式),是,I am a teacher.,我是一位老師。
are,v. 是 (動詞 be 的第二人稱單數及所有複數現在式),是,You are smart.,你很聰明。
my,pron. 我的,我的,This is my book.,這是我的書。
your,pron. 你的；你們的,你的；你們的,What is your name?,你叫什麼名字？
his,pron. 他的,他的,That is his bag.,那是他的包包。
her,pron. 她的,她的,Her hair is long.,她的頭髮很長。
and,conj. 和；以及,和；以及,I like dogs and cats.,我喜歡狗和貓。
but,conj. 但是,但是,It's small but cute.,它很小但是很可愛。
or,conj. 或；或者,或；或者,Do you like tea or coffee?,你喜歡茶還是咖啡？
in,prep. 在...裡面,在...裡面,The book is in the bag.,書在包包裡。
on,prep. 在...上面,在...上面,The cat is on the table.,貓在桌子上。
at,prep. 在 (某一點、場所或時間),在,She is at school.,她在學校。
to,prep. 到；向,到；向,I go to school.,我去學校。
for,prep. 為了；給予,為了；給予,This gift is for you.,這個禮物是給你的。
with,prep. 和...一起；用...,和...一起；用...,I play with my friends.,我和我的朋友一起玩。
from,prep. 從...；來自...,從...；來自...,I am from Taiwan.,我來自台灣。
have,v. 有；吃,有；吃,I have a brother.,我有一個哥哥。
has,v. 有；吃 (動詞 have 的第三人稱單數現在式),有；吃,He has a new bike.,他有一輛新腳踏車。
be,v. 是 (原形動詞),是；存在,You must be quiet.,你必須保持安靜。
this,pron. 這；這個,這；這個,This is my phone.,這是我的手機。
that,pron. 那；那個,那；那個,That is a tall tree.,那是一棵高大的樹。
