scene_id,start_time,end_time,source_type,flashcard_word,custom_image_path,image_prompt,reason,subtitle_reference
1,0,17,AI,,,"Two friendly podcast hosts, a man and a woman, smiling and talking into microphones in a cozy, modern recording studio, aspect ratio 16:9, cinematic wide shot",開場介紹與閒聊,"[0:00:00-->0:00:00.280000] 哈囉, | [0:00:00.580000-->0:00:00.840000] 大家好, | [0:00:01.080000-->0:00:01.980000] 我是John。 | [0:00:02.480000-->0:00:02.520000] 大家好, | [0:00:02.760000-->0:00:03.560000] 我是Mary。 | [0:00:03.840000-->0:00:06.360000] 歡迎來到《會考英文隨身聽》 | [0:00:06.360000-->0:00:09.640000] 《200單攻略戰》第三集。 | [0:00:09.840000-->0:00:11.180000] 不管正在聽節目的你, | [0:00:11.200000-->0:00:13.160000] 現在是正在搭公車 | [0:00:13.160000-->0:00:14.680000] 或者是騎單車, | [0:00:14.760000-->0:00:17.380000] 還是剛好坐在書桌前伸個懶腰。"
2,17,35,AI,,,"A close-up of a sound wave graphic on a screen, with brain-like neural networks glowing in the background, symbolizing deep learning without stress, aspect ratio 16:9, cinematic wide shot",說明節目理念，強調無壓力學習,"[0:00:17.720000-->0:00:17.980000] 對, | [0:00:18.140000-->0:00:19.200000] 不管你在做什麼, | [0:00:19.460000-->0:00:22.580000] 這段時間都是專屬你的陪伴時光唷。 | [0:00:22.820000-->0:00:23.260000] 沒錯, | [0:00:23.620000-->0:00:25.300000] 大家真的不需要有壓力, | [0:00:25.480000-->0:00:27.420000] 不用在那邊死背硬記啦。 | [0:00:27.420000-->0:00:28.540000] 就是放輕鬆, | [0:00:28.760000-->0:00:31.060000] 跟著我們這場深度解析的節奏, | [0:00:31.260000-->0:00:33.660000] 就能把單字深深印在腦海裡。"
3,35,54,AI,,,"An animated collage of icons representing daily life: a calendar, a speech bubble, a human silhouette, all starting with a glowing letter 'A', aspect ratio 16:9, cinematic wide shot",介紹本集主題：A開頭的單字,"[0:00:35-->0:00:36.760000] 那我們今天的任務呢, | [0:00:36.760000-->0:00:41.680000] 是要帶大家探索A開頭的關鍵核心單字群。 | [0:00:41.880000-->0:00:42.060000] 哇, | [0:00:42.100000-->0:00:43.280000] A開頭的單字? | [0:00:43.480000-->0:00:43.920000] 對, | [0:00:44.200000-->0:00:45.800000] 我們不照表朝客, | [0:00:46-->0:00:49.220000] 而是要帶你看看這些涵蓋了日常生活、 | [0:00:49.540000-->0:00:50.360000] 人際溝通, | [0:00:50.640000-->0:00:53.940000] 甚至身體部位的超實用詞彙。"
4,54,72,AI,,,"A stylized animation of a hand holding a glowing Joker playing card, with the words 'ANY', 'ANYONE', 'ANYTHING' shimmering on it, aspect ratio 16:9, cinematic wide shot",用鬼牌的比喻來閒聊 Any 家族單字,"[0:00:54.080000-->0:00:55.180000] 聽起來超讚的。 | [0:00:55.180000-->0:00:57.860000] 其實講到A開頭的單字啊, | [0:00:57.940000-->0:01:02.420000] 我覺得有一個家族根本就是英文裡的那個 | [0:01:02.420000-->0:01:03.500000] 撲克牌的鬼牌。 | [0:01:03.560000-->0:01:04.420000] 鬼牌? | [0:01:04.540000-->0:01:06.480000] 你是指百搭牌那種嗎? | [0:01:06.540000-->0:01:06.980000] 對對對, | [0:01:07.040000-->0:01:08.580000] 就是Annie家族, | [0:01:08.780000-->0:01:10.280000] 好像什麼情況都能用, | [0:01:10.500000-->0:01:11.980000] 但有時候又會不小心搞混。"
5,72,94,FLASHCARD,any,C:/Project/CAP_2000_Vocab_Project/workspace/Ep03_0061_0090/04_images/flashcards/any.png,,解釋單字 any 的意思並舉例問句,"[0:01:12.220000-->0:01:14.040000] 這個比喻很貼切喔, | [0:01:14.160000-->0:01:17.220000] Annie這個字它的變化真的很靈活。 | [0:01:17.320000-->0:01:17.960000] 嗯哼。 | [0:01:18.120000-->0:01:19.840000] 首先我們來看Annie, | [0:01:19.860000-->0:01:22.840000] 它作為形容詞是任何的的意思。 | [0:01:22.840000-->0:01:23.940000] 任何的, | [0:01:24.200000-->0:01:25.920000] 那有沒有什麼經典的例子? | [0:01:26.060000-->0:01:26.700000] 有啊, | [0:01:26.740000-->0:01:29.140000] 像老師最常問的Doyouhaveany | [0:01:29.140000-->0:01:29.760000] questions? | [0:01:30.280000-->0:01:31.580000] 你有任何問題嗎? | [0:01:31.680000-->0:01:33.880000] 最近真的聽到耳朵長尖了啦。"
6,94,116,FLASHCARD,any,C:/Project/CAP_2000_Vocab_Project/workspace/Ep03_0061_0090/04_images/flashcards/any.png,,繼續解釋單字 any 用於否定句的用法與例子,"[0:01:34.100000-->0:01:34.340000] 沒錯, | [0:01:34.720000-->0:01:35.700000] 但你注意喔, | [0:01:35.780000-->0:01:38.040000] Annie也可以用在否定句裡面。 | [0:01:38.360000-->0:01:39.700000] 用在否定句會怎樣? | [0:01:40.080000-->0:01:42.380000] 當它是形容詞表示任何的, | [0:01:42.540000-->0:01:43.960000] 用在否定句時, | [0:01:44.200000-->0:01:47.320000] 會有一種強調連一點點都不剩的感覺。 | [0:01:47.700000-->0:01:48.440000] 原來如此。 | [0:01:48.620000-->0:01:50.280000] 像我們說Wedon'thaveany | [0:01:50.280000-->0:01:51.060000] milkleft。 | [0:01:51.060000-->0:01:53.880000] 就是我們沒有剩下任何牛奶了。 | [0:01:54.260000-->0:01:55.980000] 一滴都不剩的意思。"
7,116,137,FLASHCARD,anyone,C:/Project/CAP_2000_Vocab_Project/workspace/Ep03_0061_0090/04_images/flashcards/anyone.png,,解釋單字 anyone 的意思並舉例,"[0:01:56.660000-->0:01:58.540000] 那既然Annie像一張鬼牌, | [0:01:58.680000-->0:02:00.980000] 它可以跟不同的字組合喔。 | [0:02:01.280000-->0:02:01.960000] 組合? | [0:02:02.120000-->0:02:03.520000] 你是說像積木那樣嗎? | [0:02:03.620000-->0:02:04.020000] 沒錯, | [0:02:04.440000-->0:02:07.940000] 比如說加上One這個字就變成Anyone, | [0:02:08.160000-->0:02:08.960000] 代名詞, | [0:02:09.100000-->0:02:10.720000] 意思是任何人。 | [0:02:10.900000-->0:02:11.140000] Oh, | [0:02:11.380000-->0:02:11.700000] anyone。 | [0:02:11.880000-->0:02:12.180000] 對, | [0:02:12.500000-->0:02:14.480000] 例句像是Doesanyoneknow | [0:02:14.480000-->0:02:15.060000] theanswer? | [0:02:15.240000-->0:02:16.760000] 有任何人知道答案嗎? | [0:02:16.900000-->0:02:18.160000] 這句也超實用。"
8,137,155,FLASHCARD,anything,C:/Project/CAP_2000_Vocab_Project/workspace/Ep03_0061_0090/04_images/flashcards/anything.png,,解釋單字 anything 的意思並舉例,"[0:02:18.360000-->0:02:20.180000] 那如果把人換成東西呢? | [0:02:20.180000-->0:02:24.280000] 換成東西的話加上thing就變成Any | [0:02:24.280000-->0:02:24.780000] thing, | [0:02:24.940000-->0:02:27.020000] 代名詞任何事物。 | [0:02:27.600000-->0:02:28.200000] anything。 | [0:02:28.420000-->0:02:31.160000] 像去買東西的時候可以問Doyouneed | [0:02:31.160000-->0:02:32.480000] anythingfromthestore? | [0:02:32.820000-->0:02:35] 你需要從商店買任何東西嗎?"
9,155,173,FLASHCARD,anywhere,C:/Project/CAP_2000_Vocab_Project/workspace/Ep03_0061_0090/04_images/flashcards/anywhere.png,,解釋單字 anywhere 的意思並舉例,"[0:02:35.200000-->0:02:35.580000] 對, | [0:02:35.940000-->0:02:37.820000] 那如果換成地點呢? | [0:02:37.840000-->0:02:38.820000] 加上Where。 | [0:02:39.160000-->0:02:40.820000] 那就是Anywhere啦, | [0:02:40.880000-->0:02:42.440000] 複詞任何地方。 | [0:02:42.780000-->0:02:43.040000] 沒錯, | [0:02:43.200000-->0:02:44.800000] 像Wecanmeetanywhere | [0:02:44.800000-->0:02:45.440000] youlike。 | [0:02:45.720000-->0:02:48.100000] 我們可以在你喜歡的任何地方見面。 | [0:02:48.380000-->0:02:49.940000] 這個字真的很好用欸。 | [0:02:49.940000-->0:02:53.540000] 其實英文裡這種組合字很多喔,"
10,173,202,FLASHCARD,another,C:/Project/CAP_2000_Vocab_Project/workspace/Ep03_0061_0090/04_images/flashcards/another.png,,解釋單字 another 的組成、拼寫與意思並舉例,"[0:02:53.560000-->0:02:55.620000] 像是Another這個字, | [0:02:55.760000-->0:02:57.200000] 形容詞另一個。 | [0:02:57.780000-->0:02:58.280000] Another, | [0:02:58.400000-->0:03:00.540000] A-N-O-T-H-E-R, | [0:03:00.820000-->0:03:03.060000] 它該不會也是組合起來的吧? | [0:03:03.240000-->0:03:04.240000] 你發現囉, | [0:03:04.440000-->0:03:08.060000] 它其實就是And加上Other組合起來 | [0:03:08.060000-->0:03:08.520000] 的。 | [0:03:08.620000-->0:03:08.860000] 哇, | [0:03:09.100000-->0:03:10.420000] 我以前都死背欸, | [0:03:10.820000-->0:03:13.880000] 所以它就是一個加上其他的。 | [0:03:14.160000-->0:03:14.640000] 對啊, | [0:03:15.100000-->0:03:16.880000] 像CanIhaveanotherpiece | [0:03:16.880000-->0:03:17.460000] ofcake? | [0:03:17.460000-->0:03:19.420000] 我可以再吃一塊蛋糕嗎? | [0:03:19.620000-->0:03:21.220000] 原來就是這麼簡單的概念。 | [0:03:21.700000-->0:03:21.720000] 沒錯,"
