Word,POS,Meaning,English_Sentence,Chinese_Translation
angle,n. 名詞,角度,The corner forms a right angle.,這個角落形成一個直角。
angry,adj. 形容詞,生氣的,She was angry about the delay.,她對延誤感到生氣。
animal,n. 名詞,動物,A dog is a loyal animal.,狗是一種忠實的動物。
ankle,n. 名詞,腳踝,He twisted his ankle playing basketball.,他打籃球時扭傷了腳踝。
another,adj. 形容詞,另一個,Can I have another piece of cake?,我可以再吃一塊蛋糕嗎？
answer,v. 動詞,回答,Please answer my question clearly.,請清楚回答我的問題。
ant,n. 名詞,螞蟻,An ant is a tiny insect.,螞蟻是一種微小的昆蟲。
any,adj. 形容詞,任何的,Do you have any questions?,你有任何問題嗎？
any,adj. 形容詞,任何（的）,We don't have any milk left.,我們沒有剩下任何牛奶了。
anyone,pron. 代名詞,任何人,Does anyone know the answer?,有任何人知道答案嗎？
anything,pron. 代名詞,任何事物,Do you need anything from the store?,你需要從商店買任何東西嗎？
anywhere,adv. 副詞,任何地方,We can meet anywhere you like.,我們可以在你喜歡的任何地方見面。
apartment,n. 名詞,公寓,My apartment is small but cozy.,我的公寓雖小但很舒適。
apologize,v. 動詞,道歉,You should apologize for your mistake.,你應該為你的錯誤道歉。
appear,v. 動詞,出現；看起來,He appears happy today.,他今天看起來很開心。
apple,n. 名詞,蘋果,An apple a day keeps the doctor away.,一天一蘋果，醫生遠離我。
appreciate,v. 動詞,欣賞；感激,I really appreciate your help.,我真的很感謝你的幫助。
April,n. 名詞,四月,April is my favorite month.,四月是我最喜歡的月份。
area,n. 名詞,區域；範圍,This area is quiet and safe.,這個區域安靜又安全。
argue,v. 動詞,爭論；辯論,Don't argue with me about this.,不要為了這件事跟我爭論。
arm,n. 名詞,手臂,My arm hurts after lifting weights.,舉重後我的手臂很痛。
armchair,n. 名詞,扶手椅,He enjoys reading in his comfortable armchair.,他喜歡坐在舒適的扶手椅上看書。
army,n. 名詞,軍隊,The army protects the country from invaders.,軍隊保護國家免受入侵者。
arrange,v. 動詞,安排,Can you arrange a meeting for next week?,你能安排下週的會議嗎？
arrive,v. 動詞,到達,We will arrive at the airport by noon.,我們中午前會抵達機場。
art,n. 名詞,藝術,Modern art can be very thought-provoking.,現代藝術可以非常引人深思。
artist,n. 名詞,藝術家,She is a talented artist who paints beautiful landscapes.,她是一位才華洋溢的藝術家，畫著美麗的風景。
Asian,adj. 形容詞,亞洲的,Many Asian countries have rich cultural histories.,許多亞洲國家擁有豐富的文化歷史。
ask,v. 動詞,問,Don't be afraid to ask for help.,別害怕尋求幫助。
asleep,adj. 形容詞,睡著的,The baby fell asleep in his mother's arms.,寶寶在媽媽懷裡睡著了。
