Word,POS,Meaning,English_Sentence,Chinese_Translation
beginning,n. 名詞,開始,The beginning of the story was very exciting.,故事的開頭非常精彩。
behave,v. 動詞,表現；行為,Please behave well when you visit your grandparents.,拜訪祖父母時請好好表現。
behind,prep. 介系詞,在...後面,My dog often hides behind the sofa.,我的狗常藏在沙發後面。
believe,v. 動詞,相信,I believe in you; you can do it!,我相信你；你可以做到！
bell,n. 名詞,鈴；鐘,The school bell rings at eight o'clock.,學校的鐘在八點響。
belong,v. 動詞,屬於,This book belongs to me.,這本書是我的。
below,prep. 介系詞,在...下面,Look at the fish swimming below the surface.,看魚在水面下游泳。
belt,n. 名詞,皮帶；腰帶,Don't forget to fasten your seat belt.,別忘了繫好你的安全帶。
bench,n. 名詞,長椅；板凳,We sat on the park bench and talked.,我們坐在公園長椅上聊天。
beside,prep. 介系詞,在...旁邊,She placed her bag beside her.,她把包包放在她旁邊。
besides,prep. 介系詞,除了...之外（還有）,"Besides coffee, I also want some tea.",除了咖啡，我還想要一些茶。
between,prep. 介系詞,在...之間,The ball is between the two chairs.,球在兩張椅子之間。
beyond,prep. 介系詞,在...之外／超越,The mountains are beautiful beyond imagination.,山景美得超乎想像。
bicycle,n. 名詞,腳踏車／自行車,I ride my bicycle to school every day.,我每天騎腳踏車去學校。
big,adj. 形容詞,大的,That's a very big dog.,那是一隻非常大的狗。
bill,n. 名詞,帳單／鈔票,"Can I have the bill, please?",請給我帳單好嗎？
biology,n. 名詞,生物學,My favorite subject in school is biology.,我在學校最喜歡的科目是生物學。
bird,n. 名詞,鳥,A small bird is singing in the tree.,一隻小鳥正在樹上唱歌。
birthday,n. 名詞,生日,Happy birthday! What do you want for your birthday?,生日快樂！你生日想要什麼？
bite,v. 動詞,咬,"Be careful, the dog might bite.",小心，那隻狗可能會咬人。
bitter,adj. 形容詞,苦的；痛苦的,The coffee has a bitter taste.,這咖啡有苦味。
black,adj. 形容詞,黑色的,She wore a beautiful black dress.,她穿了一件漂亮的黑色洋裝。
blackboard,n. 名詞,黑板,The teacher wrote on the blackboard.,老師在黑板上寫字。
blame,v. 動詞,責怪；歸咎,Don't blame others for your mistakes.,不要因為你的錯誤而責怪別人。
blank,adj. 形容詞,空白的,Please fill in the blank spaces.,請填寫空白處。
blanket,n. 名詞,毛毯；毯子,I need a warm blanket tonight.,今晚我需要一條溫暖的毯子。
bless,v. 動詞,祝福,May God bless you and your family.,願上帝保佑你和你的家人。
blind,adj. 形容詞,盲的；看不見的,He is blind without his glasses.,他沒戴眼鏡就看不見。
block,v. 動詞,阻塞；阻擋,The car blocked the entrance to the garage.,這輛車堵住了車庫的入口。
blood,n. 名詞,血；血液,Blood streamed from the small cut.,血從小傷口流了出來。
