Word,POS,Meaning,English_Sentence,Chinese_Translation
assistant,n. 名詞,助理、助手,My assistant helps me with many tasks.,我的助理幫我處理許多任務。
assume,v. 動詞,假設、認為,Don't assume anything; ask directly.,不要假設任何事；直接問。
at,prep. 介系詞,在...、於...,She is waiting at the bus stop.,她正在公車站等候。
attack,n. 名詞,攻擊、襲擊,The enemy launched a surprise attack.,敵人發動了一次突襲。
attention,n. 名詞,注意、注意力,Please pay attention to the instructions.,請注意聽指示。
August,n. 名詞,八月,My birthday is in August.,我的生日在八月。
aunt,n. 名詞,阿姨、姑姑、舅媽、伯母,My aunt visited us last weekend.,我阿姨上週末來看我們。
autumn,n. 名詞,秋天,Leaves change color in autumn.,秋天時葉子會變色。
available,adj. 形容詞,可用的、有空的,Is this item still available?,這項物品還有貨嗎？
avoid,v. 動詞,避免,Try to avoid crowded places.,盡量避免擁擠的地方。
away,adv. 副詞,離開；不在,Please put your toys away now.,請現在把你的玩具收好。
baby,n. 名詞,嬰兒,The baby is sleeping soundly in the crib.,嬰兒在嬰兒床裡睡得很香甜。
baby sitter,n. 名詞,臨時保姆,We hired a baby sitter for tonight.,我們今晚請了個臨時保姆。
back,n. 名詞,背部,My back hurts after gardening.,我園藝工作後背部很痛。
back,adv. 副詞,回來；向後,I will be back in five minutes.,我五分鐘後就回來。
backpack,n. 名詞,背包,He carries his books in a blue backpack.,他用藍色背包裝書。
backward,adv. 副詞,向後地；倒退地,Don't walk backward on the stairs.,不要在樓梯上倒著走。
bad,adj. 形容詞,壞的；不好的,That was a really bad idea.,那真是個很糟的主意。
badminton,n. 名詞,羽毛球,Let's play badminton this weekend at the park.,我們這週末在公園打羽毛球吧。
bake,v. 動詞,烘烤,She wants to bake a delicious chocolate cake.,她想烤一個美味的巧克力蛋糕。
bakery,n. 名詞,麵包店,I bought fresh bread at the bakery.,我在麵包店買了新鮮麵包。
balcony,n. 名詞,陽臺,The apartment has a small balcony.,這公寓有個小陽臺。
ball,n. 名詞,球,Let's play catch with the ball.,我們來玩丟接球吧。
balloon,n. 名詞,氣球,The child held a red balloon.,那孩子拿著一個紅色氣球。
banana,n. 名詞,香蕉,She peeled a banana for a snack.,她剝了一根香蕉當點心。
band,n. 名詞,樂團,My favorite band plays great music.,我最喜歡的樂團演奏很棒的音樂。
band,n. 名詞,帶子；條紋；（橡皮）筋,She tied her hair with a rubber band.,她用橡皮筋綁了頭髮。
bank,n. 名詞,銀行,I need to go to the bank today.,我今天需要去銀行。
bank,n. 名詞,河岸；堤岸,We walked along the river bank.,我們沿著河岸散步。
barbecue,n. 名詞,烤肉；燒烤,Let's have a barbecue this weekend.,我們這週末來烤肉吧。
